"2000 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""3"",""6"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2001.899935"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899935"","""",""IEEE"","""","""","""","""",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A cost model for selecting checkpoint positions in time warp parallel simulation,""F. Quaglia"",""Dipartimento di Informatica e Sistemistica, Università di Roma La Sapienza, Rome, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""4"",""346"",""362"",""Recent papers have shown that the performance of Time Warp simulators can be improved by appropriately selecting the positions of checkpoints, instead of taking them on a periodic basis. In this paper, we present a checkpointing technique in which the selection of the positions of checkpoints is based on a checkpointing-recovery cost model. Given the current state S, the model determines the convenience of recording S as a checkpoint before the next event is executed. This is done by taking into account the position of the last taken checkpoint, the granularity (i.e., the execution time) of intermediate events, and using an estimate of the probability that S will have to be restored due to rollback in the future of the execution. A synthetic benchmark in different configurations is used for evaluating and comparing this approach to classical periodic techniques. As a testing environment we used a cluster of PCs connected through a Myrinet switch coupled with a fast communication layer specifically designed to exploit the potential of this type of switch. The obtained results point out that our solution allows faster execution and, in some cases, exhibits the additional advantage that less memory is required for recording state vectors. This possibly contributes to further performance improvements when memory is a critical resource for the specific application. A performance study for the case of a cellular phone system simulation is finally reported to demonstrate the effectiveness of this solution for a real world application."",""1558-2183"","""",""10.1109/71.920586"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=920586"","""",""Costs";Time warp simulation;Checkpointing;Discrete event simulation;Switches;Communication switching;Synchronization;History;Benchmark testing;"Personal communication networks"","""",""46"",""1"",""26"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A cost-effective approach to deadlock handling in wormhole networks,""J. M. Martinez-Rubio"; P. Lopez;" J. Duato"",""Department of Computer Engineering DISCA, Universidad Politécnica de Valencia, Valencia, Spain"; Department of Computer Engineering, Universidad Politécnica de Valencia, Valencia, Spain;" Department of Computer Engineering, Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""7"",""716"",""729"",""Wormhole networks have traditionally used deadlock avoidance strategies. More recently, deadlock recovery strategies have begun to gain acceptance. In particular, progressive deadlock recovery techniques allocate a few dedicated resources to quickly deliver deadlocked packets. Deadlock recovery is based on the assumption that deadlocks are rare";" otherwise, recovery techniques are not efficient. Measurements of deadlock occurrence frequency show that deadlocks are highly unlikely when enough routing freedom is provided. However, networks are more prone to deadlocks when the network is close to or beyond saturation, causing some network performance degradation. Similar performance degradation behavior at saturation was also observed in networks using deadlock avoidance strategies. In this paper, we take a different approach to handling deadlocks and performance degradation. We propose the use of an injection limitation mechanism that prevents performance degradation near the saturation point and, at the same time, reduces the probability of deadlock to negligible values. We also propose an improved deadlock detection mechanism that uses only local information, detects all deadlocks, and considerably reduces the probability of false deadlock detection over previous proposals. In the rare case when impending deadlock is detected, our proposal consists of using a simple recovery technique that absorbs the deadlocked message at the current node and later reinjects it for continued routing toward its destination. Performance evaluation results show that our new approach to handling deadlock is more efficient than previously proposed techniques."",""1558-2183"","""",""10.1109/71.940746"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=940746"","""",""System recovery";Intelligent networks;Routing;Degradation;Resource management;Frequency measurement;Proposals;Multiprocessor interconnection networks;Packet switching;"Workstations"","""",""15"","""",""36"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"A delay-optimal quorum-based mutual exclusion algorithm for distributed systems,""Guohong Cao";" M. Singhal"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA";" Department of Computer Science, University of Kentucky, KY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1256"",""1268"",""The performance of a mutual exclusion algorithm is measured by the number of messages exchanged per critical section execution and the delay between successive executions of the critical section. There is a message complexity and synchronization delay trade-off in mutual exclusion algorithms. The Lamport algorithm (1978) and the Ricart-Agrawal algorithm (1981) both have a synchronization delay of T (T is the average message delay), but their message complexity is O(N). Maekawa's algorithm reduces the message complexity to O(/spl radic/N)";" however, it increases the synchronization delay to 2T. After Maekawa's algorithm (1985), many quorum-based mutual exclusion algorithms have been proposed to reduce the message complexity or the increase the resiliency to site and communication link failures. Since these algorithms are Maekawa-type algorithms, they also suffer from the long synchronization delay. We propose a delay-optimal quorum-based mutual exclusion algorithm which reduces the synchronization delay to T and still has a low message complexity of O(K) (K is the size of the quorum which can be as low as log N). A correctness proof and a detailed performance analysis are provided."",""1558-2183"","""",""10.1109/71.970560"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970560"","""",""Synchronization";Delay effects;Resource management;Costs;Merging;Tree graphs;Performance analysis;Fault tolerant systems;Memory management;"Clocks"","""",""19"",""1"",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"A fault-tolerant routing scheme for meshes with nonconvex faults,""Chun-Lung Chen";" Ge-Ming Chiu"",""Openfind Information Technology, Inc., Taipei, Taiwan";" Department of Electrical Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""5"",""467"",""475"",""In this paper, we propose a fault-tolerant routing scheme for meshes with solid faults. A Rag bit is introduced for guiding misrouted messages. By fully utilizing virtual channels of each class, our algorithm uses only three virtual channels to ensure the property of deadlock freeness. Our scheme is able to handle solid faults whose associated fault rings overlap. In addition, the proposed algorithm can be used to route messages when fault regions touch the boundaries of the mesh."",""1558-2183"","""",""10.1109/71.926168"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=926168"","""",""Fault tolerance";Routing;Solids;System recovery;Multiprocessing systems;Algorithm design and analysis;Computer Society;Helium;Topology;"Communication switching"","""",""56"","""",""11"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A framework for integrating data alignment, distribution, and redistribution in distributed memory multiprocessors,""J. Garcia"; E. Ayguade;" J. Labarta"",""Computer Architecture Department, Universitat Poliltècnica de Catalunya, Barcelona, Spain"; Computer Architecture Department, Universitat Poliltècnica de Catalunya, Barcelona, Spain;" Computer Architecture Department, Universitat Poliltècnica de Catalunya, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""4"",""416"",""431"",""Parallel architectures with physically distributed memory provide a cost-effective scalability to solve many large scale scientific problems. However, these systems are very difficult to program and tune. In these systems, the choice of a good data mapping and parallelization strategy can dramatically improve the efficiency of the resulting program. In this paper, we present a framework for automatic data mapping in the context of distributed memory multiprocessor systems. The framework is based on a new approach that allows the alignment, distribution, and redistribution problems to be solved together using a single graph representation. The Communication Parallelism Graph (CPG) is the structure that holds symbolic information about the potential data movement and parallelism inherent to the whole program. The CPG is then particularized for a given problem size and target system and used to find a minimal cost path through the graph using a general purpose linear 0-1 integer programming solver. The data layout strategy generated is optimal according to our current cost and compilation models."",""1558-2183"","""",""10.1109/71.920590"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=920590"","""",""Parallel processing";Availability;Linear programming;Concurrent computing;Distributed computing;Parallel programming;Computer architecture;Application software;Scalability;"Large scale integration"","""",""11"","""",""28"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"A general theory for deadlock-free adaptive routing using a mixed set of resources,""J. Duato";" T. M. Pinkston"",""Facultad de Informática, Universidad Politécnica de Valencia, Valencia, Spain";" SMART Interconnects Group, EE-Systems Department, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1219"",""1235"",""This paper presents a theoretical framework for the design of deadlock-free fully adaptive routing algorithms for a general class of network topologies and switching techniques in a single, unified theory. A general theory is proposed that allows the design of deadlock avoidance-based as well as deadlock recovery-based wormhole and virtual cut-through adaptive routing algorithms that use a homogeneous or a heterogeneous (mixed) set of resources. The theory also allows channel queues to be allocated nonatomically, utilizing resources efficiently. A general methodology for the design of fully adaptive routing algorithms applicable to arbitrary network topologies is also proposed. The proposed theory and methodology allow the design of efficient network routers that require minimal resources for handling infrequent deadlocks."",""1558-2183"","""",""10.1109/71.970556"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970556"","""",""System recovery";Routing;Communication switching;Network topology;Resource management;Algorithm design and analysis;Queueing analysis;Design methodology;Computer networks;"Pipeline processing"","""",""66"",""7"",""57"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"A generalized processor mapping technique for array redistribution,""Ching-Hsien Hsu"; Yeh-Ching Chung; Don-Lin Yang;" Chyi-Ren Dow"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"; Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan; Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan;" Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""7"",""743"",""757"",""In many scientific applications, array redistribution is usually required to enhance data locality and reduce remote memory access in many parallel programs on distributed memory multicomputers. Since the redistribution is performed at runtime, there is a performance trade-off between the efficiency of the new data decomposition for a subsequent phase of an algorithm and the cost of redistributing data among processors. In this paper, we present a generalized processor mapping technique to minimize the amount of data exchange for BLOCK-CYCLIC(kr) to BLOCK-CYCLIC(r) array redistribution and vice versa. The main idea of the generalized processor mapping technique is first to develop mapping functions for computing a new rank of each destination processor. Based on the mapping functions, a new logical sequence of destination processors can be derived. The new logical processor sequence is then used to minimize the amount of data exchange in a redistribution. The generalized processor mapping technique can handle array redistribution with arbitrary source and destination processor sets and can be applied to multidimensional array redistribution. We present a theoretical model to analyze the performance improvement of the generalized processor mapping technique. To evaluate the performance of the proposed technique, we have implemented the generalized processor mapping technique on an IBM SP2 parallel machine. The experimental results show that the generalized processor mapping technique can provide performance improvement over a wide range of redistribution problems."",""1558-2183"","""",""10.1109/71.940748"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=940748"","""",""Phased arrays";Runtime;Parallel programming;Costs;Computer Society;Multidimensional systems;Performance analysis;Application software;Parallel machines;"Helium"","""",""22"","""",""33"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"A group membership algorithm with a practical specification,""M. Franceschetti";" J. Bruck"",""California Institute of Technology, Pasadena, CA, USA";" California Institute of Technology, Pasadena, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""11"",""1190"",""1200"",""Presents a solvable specification and gives an algorithm for the group membership problem in asynchronous systems with crash failures. Our specification requires processes to maintain a consistent history in their sequences of views. This allows processes to order failures and recoveries in time and simplifies the programming of high level applications. Previous work has proven that the group membership problem cannot be solved in asynchronous systems with crash failures. We circumvent this impossibility result building a weaker, yet nontrivial specification. We show that our solution is an improvement upon previous attempts to solve this problem using a weaker specification. We also relate our solution to other methods and give a classification of progress properties that can be achieved under different models."",""1558-2183"","""",""10.1109/71.969128"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=969128"","""",""Computer crashes";History;Protocols;Detectors;"Partitioning algorithms"","""",""11"","""",""54"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"A hybrid solution of fork/join synchronization in parallel queues,""Ray Jinzhu Chen"",""Multi Dimension Technology Limited Liability Company, Waltham, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""8"",""829"",""845"",""A new analysis technique, dynamic-bubblesort analysis, is introduced for general K-queue first-in-first-out HFJ (homogenous fork/join queuing) systems of K/spl ges/2 . The dynamic-bubblesort model dynamically sorts the branches of the queues based on the number of the tasks waiting for synchronization in each branch. Jobs arrive with mean rate /spl lambda/ and a general arrival distribution. Upon arrival, a job forks into K tasks. Task k, k=1, 2, ..., K, is assigned to the kth queuing system, which is a first-in-first-out server with a general service distribution and an infinite capacity queue. A job leaves the HFJ system as soon as all its tasks complete their service. In other words, tasks corresponding to the same job are joined before departing the HFJ system. We obtain a general and simple hybrid solution which combines analysis and simulation for the mean response time that we denote by T/sub K/. We obtain a very simple (as a function of T/sub 1/ and T/sub 2/ only) and general upper bound expression for T/sub K/ and we get an exact relationship between the cases for K=2 and 3. We evaluate our results by simulating 2, 3, ..., 99, and 100 queues for p=0.1, 0.2, ....0.8, and 0.9, each for four different HFJ cases, where /spl rho/=/spl lambda///spl mu/ and /spl mu/ is the average task service rate for a server. The maximum absolute offset for our hybrid solutions from all the simulations is less than 0.33 percent (1/300), which is a reasonable error ratio for simulation. The maximum offset for our upper bounds over all the simulations is 21 percent."",""1558-2183"","""",""10.1109/71.946659"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=946659"","""",""Queueing analysis";Delay;Upper bound;Performance analysis;Computational modeling;Concurrent computing;Application software;Parallel processing;Computer Society;"Analytical models"","""",""27"","""",""25"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"A protocol for deadlock-free dynamic reconfiguration in high-speed local area networks,""R. Casado"; A. Bermudez; J. Duato; F. J. Quiles;" J. L. Sanchez"",""Departamento de Informática, Universidad de Castilla-La Mancha, Albacete, Spain"; Departamento de Informática, Universidad de Castilla-La Mancha, Albacete, Spain; Departamento de Informática de Sistemas y Computadores, Universidad Politécnica de Valencia, Valencia, Spain; Departamento de Informática, Universidad de Castilla-La Mancha, Albacete, Spain;" Departamento de Informática, Universidad de Castilla-La Mancha, Albacete, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""2"",""115"",""132"",""High-speed local area networks (LANs) consist of a set of switches interconnected by point-to-point links, and hosts linked to those switches through a network interface card. High-speed LANs may change their topology due to switches being turned on/off, hot expansion, link remapping, and component failures. In these cases, a distributed reconfiguration protocol analyzes the topology, computes the new routing tables, and downloads them to the corresponding switches. Unfortunately, in most cases, user traffic is stopped during the reconfiguration process to avoid deadlock. These strategies are called static reconfiguration techniques. Although network reconfigurations are not frequent, static reconfiguration such as this may take hundreds of milliseconds to execute, thus degrading system availability significantly. Several distributed real-time applications have strict communication requirements";" Distributed multimedia applications have similar, although less strict, quality of service (QoS) requirements. Both stopping packet transmission and discarding packets due to the reconfiguration process prevent the system from satisfying the above requirements. Therefore, in order to support hard real-time and distributed multimedia applications over a high-speed LAN, we need to avoid stopping user traffic and discarding packets when the topology changes. In this paper, we propose a new deadlock-free distributed reconfiguration protocol that is able to asynchronously update routing tables without stopping user traffic. This protocol is valid for any topology, including regular as well as irregular topologies. It is also valid for packet switching as well as for cut-through switching techniques and does not rely on the existence of virtual channels to work. Simulation results show that the behavior of our protocol is significantly better than for other protocols based on stopping user traffic."",""1558-2183"","""",""10.1109/71.910868"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=910868"","""",""System recovery";Switches;Local area networks;Network topology;Routing protocols;Quality of service;Traffic control;Packet switching;LAN interconnection;"Network interfaces"","""",""56"","""",""23"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";
